ProductName,Sales,Inventory,Price,December_2018,January,February,March,April,May,June,July,August,September,October,November,December_2019,MeanValue,TransactionNo,RestockPoint,Rating,Bio
French Wc Sign Blue Metal,1883,822,11.53,7.444,7.381,5.125,8.789,6.455,5.125,5.095,5.92,7.194,5.567,4.885,4.4,11.8,6.552307692307693,23.538,7.0,4.448535724449279,0
Recipe Box Retrospot,2901,362,12.86,4.982,3.75,4.814,5.58,4.5,0.0,3.973,11.786,5.176,7.643,7.216,5.328,7.84,5.583692307692308,41.583,6.0,2.6688380029213534,0
Recipe Box Pantry Yellow Design,8297,1928,12.86,4.913,4.481,5.787,6.091,5.253,6.688,8.418,10.822,6.233,12.451,4.154,8.013,11.619,7.301769230769231,90.769,8.0,4.2921004546622195,1
Circus Parade Lunch Box,3684,1626,12.25,3.333,4.545,10.067,13.273,7.3,7.371,12.571,6.481,10.559,8.865,13.688,10.071,4.5,8.663384615384615,31.615,9.0,5.0,1
Picnic Boxes Set Of 3 Retrospot,966,1170,15.32,1.8,11.348,19.0,3.824,3.545,4.263,5.235,2.645,2.857,3.3,2.083,3.4,5.2,5.269230769230769,15.615,6.0,3.697671433418527,0
Gumball Coat Rack,7962,176,12.86,11.571,13.878,5.719,9.914,11.043,10.323,15.812,10.44,8.86,13.75,12.812,9.636,10.406,11.089538461538464,56.0,12.0,2.630666915497149,0
Popcorn Holder,56921,637,10.99,21.279,23.883,34.218,30.194,24.763,63.426,20.369,18.9,64.595,31.634,38.63,47.616,86.611,38.93215384615384,113.538,39.0,5.0,0
Hot Water Bottle Tea And Sympathy,5796,1264,14.61,12.821,1.0,1.333,1.4,0.0,0.0,0.0,0.0,4.824,9.56,6.558,8.809,9.5,4.292692307692308,72.889,5.0,4.3071138687847315,1
Chocolate Hot Water Bottle,6074,1268,15.32,7.942,4.39,3.84,2.789,3.571,5.353,6.938,7.259,7.906,6.306,6.388,7.758,8.333,6.059461538461538,68.385,7.0,5.0,0
Chocolate This Way Metal Sign,3773,595,12.4,6.854,6.267,7.516,5.091,10.321,6.023,11.562,5.929,7.9,6.143,13.4,5.636,11.5,8.010923076923078,36.769,9.0,2.8636377200984775,0
Gin And Tonic Mug,2981,1787,11.74,4.854,5.95,5.056,5.111,8.263,7.429,12.333,4.905,5.471,48.421,3.25,15.372,5.125,10.11846153846154,23.385,11.0,4.224790493966424,1
Glamorous Mug,1296,1129,11.53,4.071,2.286,4.556,4.667,8.8,6.556,15.5,2.875,6.25,7.65,10.062,17.103,6.1,7.421230769230769,11.462,8.0,5.0,0
Save The Planet Mug,5454,550,11.74,6.46,7.308,13.087,6.542,9.794,12.731,32.407,15.619,54.655,25.25,7.75,13.727,8.25,16.42923076923077,28.769,17.0,3.0520422571555326,0
Retrospot Large Milk Jug,1361,161,15.32,3.586,2.639,3.528,4.607,2.71,3.044,2.767,9.808,4.846,3.2,4.438,3.259,2.727,3.935307692307693,27.769,4.0,4.773837563108328,1
Fawn Blue Hot Water Bottle,3314,113,14.09,7.008,4.621,5.05,5.308,4.111,12.857,5.25,3.917,21.333,8.13,6.639,4.821,4.524,7.197615384615384,39.462,8.0,3.9313168859793453,0
White Skull Hot Water Bottle,3919,1888,14.61,10.43,4.654,2.182,2.429,2.4,3.5,4.5,2.154,37.8,4.661,5.263,7.529,7.178,7.283076923076923,39.846,8.0,4.069792621676801,0
Door Hanger Mum + Dads Room,205,271,11.74,1.0,2.333,5.25,3.0,1.0,5.25,1.2,3.6,5.556,1.2,1.5,2.643,7.0,3.1178461538461537,5.154,4.0,5.0,0
Set 3 Retrospot Tea/Coffee/Sugar,2133,1955,14.61,3.108,4.85,6.59,5.8,6.781,2.625,4.865,4.528,5.333,5.611,3.077,4.667,3.143,4.690615384615384,34.538,5.0,4.785254959746429,0
Please One Person Metal Sign,12305,1020,12.15,11.295,8.184,10.093,12.874,11.809,13.694,6.5,192.0,1.0,21.492,15.921,19.019,13.167,25.92676923076923,67.308,26.0,4.84923343748094,0
Gin And Tonic Diet Metal Sign,12225,209,12.38,5.348,45.472,6.019,9.0,85.075,8.189,7.982,13.311,10.523,12.823,12.19,13.224,9.586,18.36476923076923,63.462,19.0,5.0,0
You're Confusing Me Metal Sign,4424,355,11.74,4.143,6.2,6.231,9.0,13.167,10.854,15.655,7.844,26.333,19.921,5.868,7.067,10.16,10.957153846153846,36.077,11.0,4.566285656748845,0
Toxic Area Door Hanger,1465,463,10.65,1.333,2.25,3.571,5.333,1.0,10.5,3.5,16.545,14.667,10.867,19.526,4.673,5.333,7.622923076923077,12.692,8.0,4.785761925085223,0
Moody Boy Door Hanger,1127,1916,10.65,3.167,2.0,2.25,2.0,3.5,3.6,2.667,16.818,17.846,8.5,23.417,5.194,6.4,7.4891538461538465,9.615,8.0,3.1099629994902798,0
Moody Girl Door Hanger,1474,884,10.65,2.625,1.0,3.111,2.2,4.0,5.333,3.571,11.474,15.75,9.773,14.875,5.068,4.111,6.376230769230769,13.846,7.0,3.987647164124566,1
Red Retrospot Oven Glove,4035,1502,11.53,7.196,5.92,13.452,11.556,20.231,8.265,14.571,11.889,8.088,5.286,10.868,5.645,5.727,9.89953846153846,35.615,10.0,5.0,0
Large Chinese Style Scissor,1273,1800,11.12,5.6,13.333,64.6,35.0,26.6,20.333,22.0,12.0,9.286,12.5,10.0,17.5,16.0,20.365538461538456,5.0,21.0,3.739814221149802,0
Small Chinese Style Scissor,13328,1137,10.68,171.5,10.0,750.5,530.0,7.667,346.375,16.0,20.0,295.0,212.2,13.333,360.6,35.0,212.93653846153845,4.154,213.0,3.298403336989214,0
Small Folding Scissor(Pointed Edge),2892,1748,10.37,7.0,0.0,20.0,72.0,132.0,0.0,12.25,14.222,57.25,24.364,28.5,58.812,84.0,39.26138461538461,6.364,40.0,3.9283055926666077,0
Hand Over The Chocolate Sign,8272,1225,12.15,11.8,5.098,10.431,8.479,9.6,10.737,11.712,10.113,23.4,12.324,17.104,11.714,30.828,13.333846153846157,52.769,14.0,3.6720140840759568,0
Small Marshmallows Pink Bowl,3764,1749,10.68,11.1,6.548,4.286,5.211,16.0,9.848,8.549,7.618,5.857,6.788,7.37,8.232,6.81,8.016692307692308,35.692,9.0,4.743457933504461,0
Small Dolly Mix Design Orange Bowl,5085,858,10.68,9.133,7.344,4.286,5.806,18.064,11.689,9.054,8.535,10.842,9.5,8.4,7.766,6.217,8.972,42.0,9.0,2.830820050188172,0
Set Of 4 English Rose Coasters,1254,1357,11.53,2.938,2.939,3.19,4.458,3.833,7.476,5.324,3.682,4.846,4.571,3.6,4.333,7.625,4.52423076923077,22.077,5.0,4.173868232008926,0
N0 Singing Metal Sign,6014,1863,12.15,6.705,6.289,6.769,11.795,9.333,7.131,6.833,12.811,10.647,15.606,2.0,41.4,14.071,11.645384615384614,42.615,12.0,4.920570396238277,0
Toilet Metal Sign,3883,1769,10.81,5.727,15.344,14.714,12.222,8.6,7.361,5.8,8.467,14.516,7.526,7.08,6.438,11.182,9.613615384615384,31.615,10.0,2.9131352057553794,0
Feng Shui Pillar Candle,3317,1609,10.44,29.429,13.2,345.0,25.8,33.0,21.333,21.75,60.0,36.5,40.2,20.857,29.818,144.0,63.14515384615385,5.077,64.0,3.7838748275505156,1
Tea Time Oven Glove,2183,1059,11.53,8.825,7.394,5.04,9.556,6.267,5.731,4.864,6.444,5.867,4.118,6.323,9.222,4.706,6.489,24.769,7.0,4.520514640244415,1
English Rose Spirit Level,978,643,11.06,8.143,5.5,9.0,1.0,1.0,20.667,2.0,4.75,19.278,8.1,4.059,4.846,9.182,7.501923076923076,9.154,8.0,5.0,0
Vintage Doily Travel Sewing Kit,3970,1674,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.079,9.542,9.752,7.724,2.6228461538461536,108.25,3.0,5.0,0
Blue Retro Kitchen Wall Clock,36,1218,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.909,2.143,0.3116923076923076,9.0,1.0,5.0,0
Red Retro Kitchen Wall Clock,47,1577,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.824,2.667,0.3454615384615384,11.5,1.0,3.555092962168924,0
Ivory Retro Kitchen Wall Clock,77,482,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.389,2.25,0.3568461538461538,17.0,1.0,4.855102300227841,1
Hot Stuff Hot Water Bottle,631,1395,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.64,4.588,7.69,7.053,2.343923076923077,18.4,3.0,5.0,0
Set Of 12 Fairy Cake Baking Cases,8486,1973,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.174,13.222,17.168,9.057,13.484,14.351,7.0350769230769234,94.5,8.0,3.9248782389357366,0
Set Of Tea Coffee Sugar Tins Pantry,4805,1014,15.32,0.0,0.0,0.0,0.0,0.0,0.0,8.562,5.413,8.733,24.105,4.986,6.712,3.75,4.789307692307692,72.714,5.0,4.8498432581594875,0
Set Of 4 Knick Knack Tins Doily,4186,1171,14.5,0.0,0.0,0.0,0.0,0.0,0.0,9.228,7.662,9.564,6.505,7.435,5.718,5.667,3.983000000000001,81.0,4.0,4.348839511192646,0
Doormat 3 Smiley Cats,1176,1026,17.51,2.415,2.087,3.682,2.609,3.3,4.667,2.286,4.733,2.737,48.545,2.688,2.267,3.0,6.539692307692308,18.308,7.0,3.571324869271157,0
Hanging Metal Heart Lantern,3427,734,11.06,7.087,6.815,7.435,7.027,9.086,13.0,9.429,7.444,12.556,9.407,8.607,10.969,14.812,9.513384615384616,28.538,10.0,4.846040807621332,0
12 Pencils Tall Tube Skulls,2156,728,11.12,6.217,5.571,8.2,11.4,13.8,6.833,8.333,5.529,8.789,8.065,9.138,8.321,6.438,8.202615384615385,20.462,9.0,4.467751363802599,1
12 Pencils Tall Tube Woodland,1976,662,11.12,4.28,6.857,6.0,9.0,12.083,8.966,4.231,7.923,6.76,9.8,6.65,8.404,10.2,7.781076923076924,19.692,8.0,4.622181585018757,1
Gingham Recipe Book Box,466,1392,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.098,4.105,2.375,2.9,1.0367692307692309,34.25,2.0,3.6735609499205584,0
Egg Frying Pan Red,431,1303,12.15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.909,3.0,4.176,3.188,3.069,6.333,2.2057692307692305,15.714,3.0,4.050896365563769,0
Single Heart Zinc T-Light Holder,6266,1783,11.53,8.273,7.739,10.935,14.822,15.226,14.564,18.244,8.286,13.194,11.839,14.848,9.302,10.235,12.115923076923078,39.231,13.0,3.7877216872433452,0
Natural Slate Heart Chalkboard,9172,359,13.27,6.598,6.373,5.511,7.553,7.554,7.7,5.93,7.74,6.56,6.969,6.919,5.604,20.622,7.817923076923076,98.462,8.0,4.208579099254607,0
Heart Of Wicker Small,17971,432,11.94,12.5,20.145,10.36,20.34,3.143,25.734,12.366,11.699,10.458,17.636,9.669,17.664,4.778,13.576307692307692,95.154,14.0,3.694344597429237,0
Set Of 20 Vintage Christmas Napkins,8987,1843,11.12,8.92,4.364,1.0,1.0,6.5,0.0,2.571,36.286,41.895,24.977,11.866,12.203,11.983,12.58192307692308,53.333,13.0,5.0,0
Antique Silver Tea Glass Engraved,8706,1837,11.53,13.711,20.7,30.0,28.957,13.0,34.304,30.45,17.688,22.0,37.444,13.184,23.904,22.074,23.647384615384617,28.538,24.0,2.2592455577273594,0
Playing Cards Keep Calm & Carry On,3646,1703,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.14,10.255,10.226,6.056,3.205923076923077,86.75,4.0,4.318930450765209,0
Ice Cream Bubbles,2688,394,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,27.825,31.259,18.538,26.667,9.699153846153846,20.8,10.0,4.317527413706858,0
Wall Art Only One Person,1062,1718,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.222,10.281,20.727,3.2484615384615387,29.333,4.0,5.0,0
Childrens Cutlery Polkadot Blue,4068,1049,14.5,6.0,15.884,7.833,4.25,8.591,11.121,4.429,21.067,7.6,7.618,6.87,13.936,9.462,9.589307692307694,31.077,10.0,3.5062596282420815,1
Childrens Cutlery Polkadot Pink,5424,1577,14.5,6.476,18.043,11.0,5.575,7.133,4.744,7.186,18.927,7.909,9.959,8.579,11.471,5.917,9.455307692307692,42.769,10.0,2.5730527005050927,0
World War 2 Gliders Asstd Designs,55047,821,10.55,129.875,78.526,175.9,129.6,240.349,130.543,55.842,73.269,68.515,65.093,138.644,53.635,59.435,107.63276923076924,41.692,108.0,4.792955443775189,1
Feltcraft Princess Charlotte Doll,2375,1811,14.09,4.019,2.696,5.227,9.533,3.375,4.346,5.421,5.818,4.882,5.333,5.817,4.525,4.778,5.059230769230769,36.077,6.0,3.1339004618242,0
Feltcraft Girl Nicole Kit,737,126,15.32,0.0,0.0,0.0,3.625,2.941,5.389,2.643,3.643,3.467,3.0,4.917,3.946,2.733,2.792615384615384,20.0,3.0,4.577715517407483,1
Feltcraft Girl Amelie Kit,1114,1848,15.32,0.0,0.0,0.0,4.368,3.333,3.393,3.056,2.556,3.714,5.5,4.439,3.209,2.941,2.808384615384616,30.4,3.0,5.0,0
Poppy's Playhouse Bathroom,963,1160,12.4,2.533,3.091,6.05,6.08,3.25,7.944,4.5,3.2,3.769,4.071,4.36,2.281,2.1,4.094538461538461,17.923,5.0,3.1918404076567937,0
Ribbon Reel Lace Design,1381,1687,12.4,3.125,8.308,10.714,4.44,2.4,3.0,0.0,0.0,10.13,6.348,4.5,7.552,10.0,5.424384615384615,18.273,6.0,5.0,0
Antique Silver T-Light Glass,19246,447,11.53,20.838,18.511,22.773,18.444,16.109,25.507,22.672,26.843,32.24,21.338,15.935,19.536,14.75,21.192,72.769,22.0,4.652922657964016,0
T-Light Glass Fluted Antique,8027,931,11.53,15.653,26.625,17.154,20.579,0.0,42.667,26.467,37.15,25.8,33.893,15.526,18.081,22.619,23.24723076923077,30.083,24.0,4.142760219799069,0
Aged Glass Silver T-Light Holder,10583,999,10.92,24.537,21.048,46.529,24.727,27.947,30.259,37.13,27.5,22.524,43.973,25.148,19.983,38.25,29.96576923076924,27.308,30.0,4.405604207203264,0
Picture Frame Wood Triple Portrait,1068,1518,17.17,3.737,4.24,3.471,3.286,3.533,3.158,3.9,3.952,3.583,11.588,2.5,2.897,5.5,4.257307692307692,20.769,5.0,4.627331453794907,0
Set 6 Paper Table Lantern Hearts,2333,601,14.09,0.0,0.0,0.0,0.0,0.0,10.225,8.0,9.1,6.957,10.444,5.8,6.294,7.174,4.922615384615384,39.125,5.0,2.7463834106296474,0
Paper Bunting White Lace,4089,1247,13.27,3.056,9.297,10.86,10.46,15.035,15.289,0.0,0.0,0.0,0.0,0.0,14.575,11.5,6.928615384615385,42.75,7.0,4.957518802173,0
Vintage Zinc Watering Can Small,18,396,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.5,0.4538461538461539,2.667,1.0,5.0,0
Jumbo Shopper Vintage Red Paisley,12614,949,12.38,9.895,8.983,9.086,11.213,7.613,11.913,8.638,7.33,13.574,15.75,9.899,11.432,12.425,10.59623076923077,92.462,11.0,3.995653461946291,1
Red Woolly Hottie White Heart,4813,1913,14.61,14.031,4.889,3.714,2.571,1.25,1.333,1.667,2.0,3.375,9.212,9.152,12.486,10.308,5.845230769230769,34.538,6.0,5.0,0
Hand Warmer Union Jack,4867,942,12.4,9.68,0.0,0.0,1.833,0.0,1.5,1.0,1.0,28.167,10.074,12.912,6.964,8.706,6.295076923076923,51.5,7.0,3.063564796320475,0
Hot Water Bottle Keep Calm,5889,314,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.529,6.507,7.106,7.945,7.312,2.799923076923077,162.6,3.0,4.005798607317594,0
Knitted Union Flag Hot Water Bottle,3323,1946,14.61,9.433,6.2,5.471,2.8,2.2,1.917,2.083,1.6,6.733,6.896,4.808,8.034,9.333,5.192923076923076,36.385,6.0,4.17980018093481,0
Rotating Silver Angels T-Light Hldr,9485,1232,12.86,146.412,2.812,1.55,1.571,2.0,30.0,1.167,32.0,9.667,16.978,24.537,20.716,17.86,23.63615384615385,36.538,24.0,5.0,0
Rose Caravan Doorstop,566,200,12.25,1.538,1.667,3.25,1.636,1.571,2.0,3.143,2.167,2.222,1.857,11.357,1.75,5.062,3.016923076923077,12.769,4.0,4.2455740662510655,1
Ceramic Strawberry Design Mug,1790,875,10.65,11.474,10.308,12.769,8.111,6.667,7.312,9.222,4.727,6.714,3.8,5.0,6.043,18.143,8.483846153846155,14.769,9.0,2.5368645324434302,1
Red Retrospot Tea Cup And Saucer,855,1021,11.53,4.571,3.105,3.636,5.35,3.364,4.842,4.9,2.167,5.2,3.0,4.333,4.667,10.842,4.613615384615385,13.923,5.0,4.851611336656539,0
Ping Microwave Apron,509,1719,11.06,1.455,1.0,2.0,5.5,5.833,7.0,2.625,6.667,4.286,3.417,4.071,2.842,5.895,4.045461538461538,9.538,5.0,5.0,0
Empire Union Jack Tv Dinner Tray,882,892,12.25,1.656,3.167,1.8,1.333,1.857,1.75,1.5,2.375,1.5,1.6,4.556,2.647,62.8,6.810846153846153,9.846,7.0,3.453372570447011,0
Set Of 2 Round Tins Camembert,283,102,11.06,2.286,1.6,3.286,2.333,1.0,1.667,3.143,3.5,1.5,2.917,2.667,1.389,5.765,2.542538461538461,7.692,3.0,4.463679992856885,0
Set Of 2 Round Tins Dutch Cheese,254,735,11.06,2.25,2.625,1.0,2.0,4.0,1.6,1.0,2.0,2.0,3.0,2.25,1.562,12.333,2.8938461538461544,6.231,3.0,4.047673154609953,0
Doorstop Football Design,153,687,11.06,1.8,1.0,1.833,1.857,0.0,2.5,2.0,1.0,2.0,2.167,1.625,1.375,4.143,1.7923076923076924,5.667,2.0,4.815873831514715,1
Set Of 2 Tins Jardin De Provence,253,269,11.53,1.667,2.0,2.4,2.077,4.2,2.75,2.111,1.5,1.5,1.571,2.0,1.2,4.273,2.249923076923077,7.769,3.0,4.593556054838297,0
Jam Clock Magnet,330,89,11.53,0.0,0.0,0.0,8.188,4.0,3.8,1.333,3.889,4.667,4.111,3.2,3.2,3.167,3.042692307692308,7.3,4.0,3.8569646625365057,0
Kneeling Mat Housework Design,1544,518,11.06,0.0,0.0,0.0,0.0,0.0,6.16,4.262,6.758,5.12,5.778,4.25,4.882,19.174,4.33723076923077,30.125,5.0,3.837953835649987,1
Wall Art Garden Haven,215,1808,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.182,1.875,3.333,1.03,12.0,2.0,4.9112409508363095,0
Danish Rose Round Sewing Box,811,1277,11.06,16.385,22.923,6.0,4.667,0.0,3.0,3.0,3.0,3.0,1.0,3.0,5.5,12.278,6.4425384615384615,5.333,7.0,2.7927688212921966,0
Airline Bag Vintage Tokyo 78,1100,969,14.3,2.083,2.5,4.357,3.55,2.158,5.857,2.2,2.056,2.333,2.306,3.579,2.618,2.842,2.9568461538461537,31.769,3.0,3.4522245040044055,0
Kings Choice Mug,2055,1786,11.34,4.429,11.167,11.545,8.818,3.786,6.4,97.667,1.857,57.545,3.818,4.857,6.6,6.636,17.317307692307693,11.846,18.0,3.315170777523277,0
Vintage Red Enamel Trim Mug,1713,55,11.32,0.0,0.0,0.0,0.0,0.0,0.0,14.6,12.688,9.056,15.214,22.308,12.263,20.2,8.179153846153847,18.0,9.0,3.1431439243201855,0
